"Applied filters:
machine_name starts with 'F' or starts with 'G'
date_time is on or after 11/16/2017 12:00:00 PM
table_name is nozzle
plant is 1020
machine_name is GC9",,,,,
,,,,,
Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo
0,0,0,05/02/18 01:15:02 PM,1-28,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-29,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-30,4009240377T
0,0,0,05/02/18 01:15:02 PM,1-31,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-1,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-10,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-11,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-12,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-13,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-14,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-15,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-16,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-17,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-18,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-19,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-2,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-20,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-21,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-3,4009240377T
0.019230769,1,0.019230769,05/02/18 01:15:02 PM,2-48,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-49,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-5,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-50,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-51,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-52,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-53,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-6,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-7,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-8,4009240377T
0,0,0,05/02/18 01:15:02 PM,2-9,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-15,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-16,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-17,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-18,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-19,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-20,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-21,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-22,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-23,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-24,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-25,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-26,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-27,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-28,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-29,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-30,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-31,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-32,4009240377T
0,0,0,05/02/18 01:15:02 PM,3-33,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-1,4009240377T
0.026315789,1,0.026315789,05/02/18 01:15:02 PM,4-10,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-11,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-2,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-3,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-4,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-5,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-6,4009240377T
0,0,0,05/02/18 01:15:02 PM,4-7,4009240377T
0.019607843,1,0.019607843,05/02/18 01:15:02 PM,4-8,4009240377T
0.019607843,1,0.019607843,05/02/18 01:15:02 PM,4-9,4009240377T
0,0,0,05/02/18 01:30:02 PM,1-28,4009240377T
0,0,0,05/02/18 01:30:02 PM,1-29,4009240377T
0,0,0,05/02/18 01:30:02 PM,1-30,4009240377T
0,0,0,05/02/18 01:30:02 PM,1-31,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-1,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-10,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-11,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-12,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-13,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-14,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-15,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-16,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-17,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-18,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-19,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-2,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-20,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-21,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-3,4009240377T
0.014925373,1,0,05/02/18 01:30:02 PM,2-48,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-49,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-5,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-50,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-51,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-52,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-53,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-6,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-7,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-8,4009240377T
0,0,0,05/02/18 01:30:02 PM,2-9,4009240377T
0.014705882,1,0.058823529,05/02/18 01:30:02 PM,3-15,4009240377T
0.014492754,1,0.055555556,05/02/18 01:30:02 PM,3-16,4009240377T
0.014705882,1,0.058823529,05/02/18 01:30:02 PM,3-17,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-18,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-19,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-20,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-21,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-22,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-23,4009240377T
0.014925373,1,0.125,05/02/18 01:30:02 PM,3-24,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-25,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-26,4009240377T
0.014705882,1,0.117647059,05/02/18 01:30:02 PM,3-27,4009240377T
