Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo
0,0,0,05/02/18 01:15:02 PM,1-1,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-10,4009227582B
0.032258065,2,0.091239585,05/02/18 01:15:02 PM,1-11,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-13,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-14,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-15,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-31,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-4,4009227582B
0,0,0,05/02/18 01:15:02 PM,1-9,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-36,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-37,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-38,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-39,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-40,4009227582B
0.012048193,1,0.012048193,05/02/18 01:15:02 PM,2-41,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-42,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-43,4009227582B
0.012048193,1,0.012048193,05/02/18 01:15:02 PM,2-44,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-45,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-46,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-47,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-48,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-49,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-50,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-51,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-52,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-53,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-54,4009227582B
0,0,0,05/02/18 01:15:02 PM,2-55,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-1,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-10,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-11,4009227582B
0.013157895,1,0.013157895,05/02/18 01:15:02 PM,3-12,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-13,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-14,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-15,4009227582B
0,0,0,05/02/18 01:15:02 PM,3-16,4009227582B
