Noz Rejects Sum%,Noz Rejects Sum,Noz Reject Factor,date_time,Ch-Hole,optel_schedule_wo,rejected
0,0,0,5/2/2018 13:15,1-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,10-Jan,4009227582B,0
0.032258065,2,0.091239585,5/2/2018 13:15,11-Jan,4009227582B,1
0,0,0,5/2/2018 13:15,13-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,14-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,15-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,31-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,4-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,9-Jan,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-36,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-37,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-38,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-39,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-40,4009227582B,0
0.012048193,1,0.012048193,5/2/2018 13:15,Feb-41,4009227582B,1
0,0,0,5/2/2018 13:15,Feb-42,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-43,4009227582B,0
0.012048193,1,0.012048193,5/2/2018 13:15,Feb-44,4009227582B,1
0,0,0,5/2/2018 13:15,Feb-45,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-46,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-47,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-48,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-49,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-50,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-51,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-52,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-53,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-54,4009227582B,0
0,0,0,5/2/2018 13:15,Feb-55,4009227582B,0
0,0,0,5/2/2018 13:15,1-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,10-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,11-Mar,4009227582B,0
0.013157895,1,0.013157895,5/2/2018 13:15,12-Mar,4009227582B,1
0,0,0,5/2/2018 13:15,13-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,14-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,15-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,16-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,17-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,18-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,19-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,2-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,20-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,21-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,3-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,4-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,5-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,6-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,7-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,8-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,9-Mar,4009227582B,0
0,0,0,5/2/2018 13:15,26-Apr,4009227582B,0
0,0,0,5/2/2018 13:15,27-Apr,4009227582B,0
0.013157895,1,0.013157895,5/2/2018 13:15,28-Apr,4009227582B,1
0,0,0,5/2/2018 13:15,29-Apr,4009227582B,0
0,0,0,5/2/2018 13:15,30-Apr,4009227582B,0
0,0,0,5/2/2018 13:15,Apr-31,4009227582B,0
0,0,0,5/2/2018 13:15,Apr-32,4009227582B,0
0,0,0,5/2/2018 13:15,Apr-33,4009227582B,0
0,0,0,5/2/2018 13:15,Apr-34,4009227582B,0
0,0,0,5/2/2018 13:30,1-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,10-Jan,4009227582B,0
0.035211268,5,0.194855716,5/2/2018 13:30,11-Jan,4009227582B,1
0,0,0,5/2/2018 13:30,13-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,14-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,15-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,31-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,4-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,9-Jan,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-36,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-37,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-38,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-39,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-40,4009227582B,0
0.005347594,1,0,5/2/2018 13:30,Feb-41,4009227582B,1
0,0,0,5/2/2018 13:30,Feb-42,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-43,4009227582B,0
0.005347594,1,0,5/2/2018 13:30,Feb-44,4009227582B,1
0,0,0,5/2/2018 13:30,Feb-45,4009227582B,0
0.005347594,1,0.009615385,5/2/2018 13:30,Feb-46,4009227582B,1
0,0,0,5/2/2018 13:30,Feb-47,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-48,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-49,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-50,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-51,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-52,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-53,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-54,4009227582B,0
0,0,0,5/2/2018 13:30,Feb-55,4009227582B,0
0,0,0,5/2/2018 13:30,1-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,10-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,11-Mar,4009227582B,0
0.005813953,1,0,5/2/2018 13:30,12-Mar,4009227582B,1
0,0,0,5/2/2018 13:30,13-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,14-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,15-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,16-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,17-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,18-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,19-Mar,4009227582B,0
0,0,0,5/2/2018 13:30,2-Mar,4009227582B,0
